"sample","controls","beta_log_size","se_log_size","p_log_size","beta_log_size_sq","se_log_size_sq","p_log_size_sq","premium_101_solo","se_premium_101_log","p_premium_101","order"
"Raw","None",0.24102665307354,0.0257549486465156,6.85405237934414e-08,-0.00769953560263126,0.00680079151431197,0.274252890154663,175.767663277232,0.0991887598456542,1.50330414895453e-24,1
"Full sample","Sector-year FE, worker controls, and formality",0.189669529897579,0.0348196269786178,5.37364243625871e-05,-0.024156489917117,0.00579527578508794,0.00072500579862838,41.0410429404914,0.059577515370104,7.83413615099935e-09,2
"Formal workers","Sector-year FE and worker controls",-0.0378256506826539,0.038898190409253,0.345310904770373,0.0108515954830834,0.00628619756541958,0.103555610839128,8.64491014293056,0.0590166944265285,0.16004033724845,3
"Informal workers","Sector-year FE and worker controls",0.26047574827919,0.0257719132383135,2.36841045905061e-08,-0.0366575789880879,0.00476438656393584,9.16217137288847e-07,46.9330294821957,0.0416890861386971,2.69636738572834e-20,4
