"model","reference_size","size","informal_estimate","informal_se","informal_p","formal_estimate","formal_se","formal_p"
"(2)","11-19","31-50",-0.00906366527041256,0.0110223693425419,0.410907675833993,0.00772168671668116,0.00514500701517284,0.133404272060365
"(2)","11-19","51-100",0.000178220839626722,0.0134342717837992,0.989415467560122,0.0328747354117067,0.00673682735588672,1.06164284094808e-06
"(2)","11-19","101+",-0.0646380492710651,0.0161062191716734,5.98921267893605e-05,0.12277895994542,0.016130389059486,2.70607667607123e-14
"(3)","11-19","Solo",-0.363517874894818,0.0143726500438893,3.87890107966427e-141,-0.0332505969150224,0.0342535954864643,0.331688504644712
"(3)","11-19","2-3",-0.1871167587336,0.0108199512219952,5.24929176921588e-67,-0.0125637202210731,0.0133790110596431,0.347698938359516
"(3)","11-19","4-5",-0.0555437710672107,0.00868772919269405,1.62280709827799e-10,-0.0100931263974404,0.00807245854687609,0.211184031103041
"(3)","11-19","6-10",-0.0149972081939062,0.00628093460979021,0.0169525548438103,-0.0138044954217333,0.00674513950389348,0.040698934971993
"(3)","11-19","20-30",-0.00911496166035591,0.00739943479620408,0.21800674229253,-0.0121953325039646,0.00433191664288488,0.00487426573074411
"(3)","11-19","31-50",-0.0122367572117726,0.0109746700350465,0.264850416935256,0.0069995805946688,0.00518464507880953,0.176996820578706
"(3)","11-19","51-100",-0.00438511468535741,0.0137065208208427,0.749022087922811,0.0327532587812911,0.00699133954830873,2.80188180912077e-06
"(3)","11-19","101+",-0.0751133016070738,0.0161841565627515,3.46454417172329e-06,0.113838424905547,0.0158072606062292,5.94863967993506e-13
"(4)","11-19","Solo",-0.354160691619335,0.0178743022844647,2.25626182510352e-87,-0.039810279538503,0.0317466113469169,0.209841674443396
"(4)","11-19","2-3",-0.24081844882323,0.0108965106324202,3.1251316733064e-108,-0.111695916420766,0.0140277432110572,1.68596533235135e-15
"(4)","11-19","4-5",-0.0985825566728109,0.00740753933848106,2.06841887111575e-40,-0.0616966586492662,0.00754502004219918,2.90668714288761e-16
"(4)","11-19","6-10",-0.0299056759473718,0.00567575961332999,1.37155992585393e-07,-0.0266877754783058,0.00643088323857156,3.3256336482525e-05
"(4)","11-19","20-30",0.00816237568028043,0.00721222827431573,0.257743266554452,-0.000481085319475775,0.00386860056322686,0.901033076617877
"(4)","11-19","31-50",0.00908476710594676,0.010338491577785,0.379546408390804,0.0199456775401449,0.00487449245049431,4.27950892271696e-05
"(4)","11-19","51-100",0.0186535575650906,0.0133873977014979,0.163508853219332,0.045643659791993,0.00651481752553556,2.44999943031194e-12
"(4)","11-19","101+",-0.0379838170009669,0.0167556753443365,0.0233949620766277,0.113098192547098,0.0135369163822787,6.55451624349114e-17
