formality_en,firm_size,workers,share_within_formality,below_09,around_min,above_11,below_min,q25,median,q75
Formal workers,Solo,650085.3487082119,0.06413660614814982,0.1939395807083105,0.17803119574198956,0.6280292235497,0.2565886249085378,0.9996487530734106,1.3512469265893923,2.107481559536354
Formal workers,2-3,405074.7039713362,0.039964162860789285,0.09182639893491412,0.3506790411769841,0.5574945598881018,0.1703404544831768,1,1.140498770635757,1.7562346329469614
Formal workers,4-5,382593.55698881333,0.037746201061401134,0.03367922032051824,0.44718433527123286,0.5191364444082489,0.13288933797417446,1,1.1239901650860555,1.4541622760800845
Formal workers,6-10,608209.1951184135,0.060005157292818315,0.02602384216385233,0.46334951810415215,0.5106266397319955,0.14326313602879526,1,1.1239901650860553,1.4049877063575693
Formal workers,11-19,562860.9353253276,0.0555311547889431,0.0180626556613704,0.4302436926785548,0.5516936516600749,0.12054827475210618,1,1.1401475237091676,1.5454864769933263
Formal workers,20-30,601578.8435004506,0.05935101510796513,0.014137073152133887,0.433729143777647,0.552133783070219,0.11529104256598317,1,1.1239901650860555,1.5806111696522656
Formal workers,31-50,613978.5403105619,0.06057435366227476,0.01359996867974123,0.4052648637304762,0.5811351675897827,0.10756558579863683,1,1.1417632595714788,1.756234632946962
Formal workers,51-100,743327.9419803247,0.07333580359631418,0.010902793421682051,0.391376835963071,0.597720370615247,0.10996675472154332,1,1.194239550403934,1.82648401826484
Formal workers,101+,5568239.618480839,0.5493555454813442,0.010676891258361423,0.29192422981926014,0.6973988789223784,0.0788887421454364,1,1.4049877063575693,2.4587284861257466
Informal workers,Solo,7178682.528052836,0.576264152606916,0.7746194283576037,0.10123490590842567,0.12414566573397058,0.8211713342233358,0.2809975412715139,0.547945205479452,0.8429926238145417
Informal workers,2-3,2703075.5981264254,0.21698766631615726,0.6492113033275871,0.16579015625813429,0.18499854041427857,0.7250449925833415,0.4214963119072708,0.7024938531787847,1.0186160871092378
Informal workers,4-5,1201074.65532483,0.09641550044366477,0.5570294741927317,0.22376099954055964,0.21920952626670862,0.6691375586279499,0.5619950825430278,0.8429926238145417,1.053740779768177
Informal workers,6-10,697795.8180020363,0.05601511338357845,0.5049348171611934,0.2531516910750474,0.24191349176375912,0.6216631584676287,0.597119775201967,0.878117316473481,1.0607657182999648
Informal workers,11-19,311073.55277350446,0.024971230666202673,0.45630719480147935,0.26117136797605955,0.28252143722246115,0.5775361209405242,0.6322444678609063,0.91324200913242,1.1239901650860555
Informal workers,20-30,139016.6414986115,0.011159472061677328,0.45369620508843095,0.27587220797767126,0.2704315869338978,0.5883628244759966,0.5760449596066034,0.9413417632595715,1.1239901650860555
Informal workers,31-50,65173.03878229063,0.005231724041274939,0.41032752764357916,0.2843710195833917,0.3053014527730291,0.5244170232363621,0.7024938531787847,0.9834913944502985,1.1506849315068493
Informal workers,51-100,45038.21768266477,0.00361541414408619,0.4182043080329707,0.22733125631852152,0.3544644356485077,0.4901445505224563,0.6322444678609063,1,1.2644889357218125
Informal workers,101+,116347.56381236883,0.009339726336442375,0.447528391301341,0.25398818566142206,0.298483423037237,0.5395545108565479,0.5619950825430278,0.9834913944502985,1.2644889357218125
