formality_en,firm_size,workers,share_within_formality,below_09,around_min,above_11,below_min,q25,median,q75
Formal workers,Solo,650085.3487082119,0.06413660614814982,0.21614871832630095,0.13875837128188062,0.6450929103918185,0.28642547492396725,0.9483667017913593,1.3171759747102212,2.3709167544783982
Formal workers,2-3,405074.7039713362,0.039964162860789285,0.20600217834066148,0.2842275861719176,0.509770235487421,0.3796237713289431,0.9375,1.1167017913593256,1.5806111696522656
Formal workers,4-5,382593.55698881333,0.037746201061401134,0.13902612008115012,0.4008585497136959,0.460115330205154,0.39624405830982146,0.9375,1.053740779768177,1.4369192451384232
Formal workers,6-10,608209.1951184135,0.060005157292818315,0.11381506628781078,0.4269453261086135,0.45923960760357563,0.37839843347838586,0.943427291886196,1.069217597471022,1.399969893120578
Formal workers,11-19,562860.9353253276,0.0555311547889431,0.08955838310149072,0.40132240188877283,0.5091192150097364,0.3296984012038967,0.9782608695652174,1.1153617079763596,1.5806111696522656
Formal workers,20-30,601578.8435004506,0.05935101510796513,0.07319899077507262,0.4085758247859375,0.5182251844389897,0.31361036614934723,0.9782608695652174,1.124604847207587,1.5806111696522656
Formal workers,31-50,613978.5403105619,0.06057435366227476,0.07418198570487491,0.38160687028674223,0.544211144008383,0.3195101305393845,0.9782608695652174,1.1380400421496313,1.786777843954735
Formal workers,51-100,743327.9419803247,0.07333580359631418,0.06159330108665651,0.368793097793721,0.5696136011196226,0.2885875990964557,0.9782608695652174,1.1682778210473268,1.8967334035827186
Formal workers,101+,5568239.618480839,0.5493555454813442,0.0474253716457135,0.27955721401048145,0.6730174143438049,0.2147701906152223,1.0227272727272727,1.3830347734457322,2.5864546412491616
Informal workers,Solo,7178682.528052836,0.576264152606916,0.7347972792317823,0.09849605426298916,0.1667066665052285,0.7958703642394892,0.39138943248532293,0.6322444678609062,0.933997509339975
Informal workers,2-3,2703075.5981264254,0.21698766631615726,0.6593594661724856,0.15039331414737936,0.1902472196801349,0.7536914888499925,0.4905345009265652,0.7295128475318149,0.987881981032666
Informal workers,4-5,1201074.65532483,0.09641550044366477,0.6045368424031826,0.20683636776147715,0.18862678983534023,0.737589325341205,0.6059009483667017,0.7903055848261328,1.01159114857745
Informal workers,6-10,697795.8180020363,0.05601511338357845,0.5290676683533326,0.21742463105057744,0.2535077005960898,0.669772469951895,0.6322444678609062,0.862151547083054,1.106427818756586
Informal workers,11-19,311073.55277350446,0.024971230666202673,0.48682889905635596,0.24067140117960695,0.27249969976403715,0.6312258473749917,0.6585879873551106,0.9220231822971549,1.1239901650860555
Informal workers,20-30,139016.6414986115,0.011159472061677328,0.47366976786611165,0.244399031433811,0.2819312007000774,0.62213594039085,0.6585879873551106,0.9220231822971549,1.129007978323047
Informal workers,31-50,65173.03878229063,0.005231724041274939,0.46388755186076464,0.2508867371662213,0.2852257109730141,0.5994331080178488,0.6585879873551106,0.9293993677555321,1.1854583772391991
Informal workers,51-100,45038.21768266477,0.00361541414408619,0.41675071350483545,0.2189592754768123,0.3642900110183522,0.5569672069220124,0.6774047869938281,0.9782608695652174,1.3171759747102212
Informal workers,101+,116347.56381236883,0.009339726336442375,0.42373745425838727,0.19518650051053574,0.381076045231077,0.5388138692051986,0.6585879873551106,0.9504156421964641,1.422550052687039
